Item #,Type,Description,Dimensions,Qty,Unit Wt (lb/ft),Total Wt (lb),Material
377,Sheet Metal,"Sheet Metal Panel - 30.0""x36.0"" (16ga)",16ga,1,,18.32,Galvanized Steel
378,Sheet Metal,"Sheet Metal Panel - 30.0""x36.0"" (16ga)",16ga,1,,18.32,Galvanized Steel
379,Sheet Metal,"Sheet Metal Panel - 30.0""x36.0"" (16ga)",16ga,1,,18.32,Galvanized Steel
380,Sheet Metal,"Sheet Metal Panel - 30.0""x36.0"" (16ga)",16ga,1,,18.32,Galvanized Steel
381,Sheet Metal,"Sheet Metal Panel - 30.0""x36.0"" (16ga)",16ga,1,,18.32,Galvanized Steel
382,Sheet Metal,"Sheet Metal Panel - 30.0""x36.0"" (16ga)",16ga,1,,18.32,Galvanized Steel
383,Sheet Metal,"Sheet Metal Panel - 30.0""x36.0"" (16ga)",16ga,1,,18.32,Galvanized Steel
384,Sheet Metal,"Sheet Metal Panel - 30.0""x36.0"" (16ga)",16ga,1,,18.32,Galvanized Steel
385,Sheet Metal,"Sheet Metal Panel - 24.0""x96.0"" (16ga)",16ga,1,,39.07,Galvanized Steel
386,Sheet Metal,"Sheet Metal Panel - 24.0""x96.0"" (16ga)",16ga,1,,39.07,Galvanized Steel
387,Sheet Metal,"Sheet Metal Panel - 24.0""x54.0"" (16ga)",16ga,1,,21.98,Galvanized Steel
388,Sheet Metal,"Sheet Metal Panel - 24.0""x54.0"" (16ga)",16ga,1,,21.98,Galvanized Steel
389,MEP - Ductwork,Round Duct - Straight,"24.0"" Dia, L: 96.0""",1,,,
390,MEP - Ductwork,Round Duct - Straight,"24.0"" Dia, L: 12.0""",1,,,
391,MEP - Ductwork,Round Duct - Straight,"24.0"" Dia, L: 96.0""",1,,,
392,MEP - Ductwork,Round Duct - Straight,"24.0"" Dia, L: 12.0""",1,,,
393,MEP - Ductwork,Round Duct - Straight,"24.0"" Dia, L: 96.0""",1,,,
394,MEP - Ductwork,Round Duct - Elbow,"24.0"" Dia",1,,,
395,MEP - Ductwork,Round Duct - Elbow,"24.0"" Dia",1,,,
396,MEP - Ductwork,Round Duct - Straight,"24.0"" Dia, L: 96.0""",1,,,
397,MEP - Ductwork,Round Duct - Elbow,"24.0"" Dia",1,,,
398,MEP - Ductwork,Round Duct - Elbow,"24.0"" Dia",1,,,
399,MEP - Ductwork,Round Duct - Straight,"24.0"" Dia, L: 96.0""",1,,,
400,MEP - Ductwork,Rectangular Duct - Elbow,"12.0""W x 12.0""H",1,,,
401,MEP - Ductwork,Rectangular Duct - Straight,"12.0""W x 12.0""H, L: 12.0""",1,,,
402,MEP - Ductwork,Rectangular Duct - Straight,"12.0""W x 12.0""H, L: 36.0""",1,,,
403,MEP - Ductwork,Rectangular Duct - Elbow,"12.0""W x 12.0""H",1,,,
404,MEP - Ductwork,Rectangular Duct - Straight,"12.0""W x 12.0""H, L: 12.0""",1,,,
405,MEP - Ductwork,Rectangular Duct - Straight,"12.0""W x 12.0""H, L: 36.0""",1,,,
406,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
407,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
408,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
409,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
410,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
411,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
412,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
413,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
414,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
415,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
416,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
417,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
418,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
419,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
420,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x57.0"" (16ga)",16ga,1,,29.83,Galvanized Steel
421,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x57.0"" (16ga)",16ga,1,,29.83,Galvanized Steel
422,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x57.0"" (16ga)",16ga,1,,29.83,Galvanized Steel
423,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x57.0"" (16ga)",16ga,1,,29.83,Galvanized Steel
424,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x57.0"" (16ga)",16ga,1,,29.83,Galvanized Steel
425,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x57.0"" (16ga)",16ga,1,,29.83,Galvanized Steel
426,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x57.0"" (16ga)",16ga,1,,29.83,Galvanized Steel
427,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x57.0"" (16ga)",16ga,1,,29.83,Galvanized Steel
428,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x57.0"" (16ga)",16ga,1,,29.83,Galvanized Steel
429,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x57.0"" (16ga)",16ga,1,,29.83,Galvanized Steel
430,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x57.0"" (16ga)",16ga,1,,29.83,Galvanized Steel
431,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x57.0"" (16ga)",16ga,1,,29.83,Galvanized Steel
432,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x57.0"" (16ga)",16ga,1,,29.83,Galvanized Steel
433,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x57.0"" (16ga)",16ga,1,,29.83,Galvanized Steel
434,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
435,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
436,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
437,Sheet Metal,"Sheet Metal Panel - 30.857142857142858""x96.0"" (16ga)",16ga,1,,50.24,Galvanized Steel
